DATE,VICTORIA,VIVA,SEMILLA,CAMBIO,CABAL,AZUL,UNE,BIEN,FCN-NACION,VALOR-UNIONISTA,CREO,PC,TODOS,VAMOS,ELEFANTE,PHG,NOSOTROS,MI-FAMILIA,UR,VOS,URNG-WINAQ,PIN,REPUBLICANO
28/04/2023,175000,30000,3900,,,9600,210000,,,269000,,782000,,5600,,2400,45000,,10000,97000,,1300,14000
29/04/2023,,30000,4000,,,9600,214000,,,269000,,786000,94,5600,,,45000,,10000,97000,,1300,14000
30/04/2023,175000,30000,,,,9600,214000,,,269000,,794000,,,,2400,45000,,10000,98000,,1300,14000
01/05/2023,176000,,4300,,,9600,214000,,,,,800000,94,,,2400,45000,,10000,98000,,,14000
02/05/2023,176000,30000,4400,,,9700,214000,,,269000,,804000,95,5700,,2400,45000,,10000,98000,,1300,14000
03/05/2023,,30000,4700,,,9700,214000,,,269000,,810000,95,5700,,2400,45000,,10000,,,1300,14000
04/05/2023,,30000,4900,,,9700,215000,,,269000,,815000,,,,2400,45000,,10000,99000,,,14000
05/05/2023,176000,30000,5000,,,9700,,,,,,,,5800,,2400,45000,,10000,99000,,1300,14000
06/05/2023,176000,30000,5100,,,9700,227000,,,270000,,825000,,5800,,2400,45000,,11000,99000,,,14000
09/05/2023,,30000,5400,,,,,,,270000,,835000,,,,,,,11000,,,,
10/05/2023,176000,31000,5500,,145000,,247000,,,270000,,838000,98,5900,,2400,45000,,,100000,,1300,14000
12/05/2023,,31000,5700,,147000,9800,,,,270000,,844000,99,5900,,2400,45000,,11000,,,1400,14000
12/05/2023,,31000,5700,,147000,9800,,,,270000,,844000,99,5900,,2400,45000,,11000,,,1400,14000
13/05/2023,176000,31000,5800,,153000,9800,248000,,,270000,,847000,99,5900,,2400,45000,,11000,100000,,1400,14000
14/05/2023,176000,31000,6000,,153000,9800,248000,,,270000,,851000,99,5900,,2400,45000,,11000,100000,,1400,14000
15/05/2023,176000,31000,6100,,153000,9800,248000,,,271000,,853000,101,6000,,2400,45000,,11000,100000,,1400,14000
16/05/2023,,,6100,,,9800,,,,271000,,856000,,,,,,,,101000,,,14000
18/05/2023,,31000,6300,,153000,,,,,,,861000,,6000,,,45000,,11000,101000,,,
20/05/2023,176000,31000,,,154000,,253000,,,271000,,,105,6000,,,45000,,11000,101000,,1400,
21/05/2023,,31000,7100,,154000,9800,257000,,,271000,,885000,106,6000,,2500,45000,,11000,102000,,1500,14000
22/05/2023,176000,,,,155000,,257000,,,271000,,893000,,,,,45000,,11000,102000,,1500,14000
23/05/2023,176000,31000,8000,,156000,9800,257000,,,271000,,,107,6100,,2500,45000,,11000,102000,,,14000
24/05/2023,176000,31000,8400,,156000,9800,257000,,,271000,,903000,107,6100,,2500,45000,,,103000,,1500,14000
25/05/2023,177000,31000,8700,,156000,9800,257000,,,272000,,906000,107,6100,,,,,11000,103000,,1500,14000
26/05/2023,177000,31000,9000,,156000,9800,257000,,,272000,,910000,107,6100,,2500,45000,,11000,103000,,1500,14000
27/05/2023,,,9400,,156000,9800,257000,,,272000,,917000,109,,,2500,46000,,11000,103000,,1500,
29/05/2023,178000,32000,9900,,159000,9800,260000,,,272000,,,111,,,2500,46000,,,104000,,1500,14000
30/05/2023,,32000,10000,,164000,9900,263000,,,272000,,926000,110,6200,,2500,,,11000,104000,,1500,14000
31/05/2023,,33000,10000,,164000,9900,265000,,,272000,,,111,,,2500,46000,,11000,105000,,1500,14000
01/06/2023,178000,33000,10000,,167000,9900,269000,,,272000,,934000,111,6200,,2500,46000,,,105000,,1500,14000
02/06/2023,178000,33000,10000,,167000,9900,273000,,,272000,,939000,,6200,,2500,46000,,11000,105000,,1500,14000
03/06/2023,,33000,10000,,167000,9900,275000,,,272000,,942000,111,6200,,2500,46000,,11000,105000,,1500,14000
04/06/2023,179000,33000,10000,,167000,9900,,,,272000,,945000,113,6300,,2500,46000,,11000,106000,,1600,14000
06/06/2023,179000,33000,10000,,167000,9900,,,,272000,,949000,112,6300,,2500,46000,,11000,106000,,1600,14000
07/06/2023,179000,33000,10000,,168000,9900,281000,,,272000,,952000,112,6300,,2500,,,11000,106000,,1600,14000
09/06/2023,179000,,11000,,168000,,282000,,,273000,,955000,113,6300,,2500,46000,7300,11000,106000,,1600,14000
10/06/2023,179000,34000,11000,,168000,9900,283000,,,273000,,957000,113,6300,,2500,46000,7300,11000,106000,,1600,14000
10/06/2023,179000,34000,11000,,168000,9900,283000,,,273000,,957000,,6300,,,46000,7300,,106000,,1600,
11/06/2023,179000,34000,11000,,,10000,284000,,,273000,,960000,,6400,,2500,,,,106000,,1600,14000
12/06/2023,179000,34000,11000,3000,168000,10000,285000,,,273000,,960000,117,6400,,2500,46000,7300,11000,106000,,1600,14000
14/06/2023,,,,,,,,,,,,,,,,,,,,,,,
15/06/2023,,,,,,,,,,,,,,,,,,,,,,,
17/06/2023,,,,,,,,,,,,,,,,,,,,,,,
18/06/2023,,,,,,,,,,,,,,,,,,,,,,,
19/06/2023,,,,,,,,,,,,,,,,,,,,,,,
