DATE,VICTORIA,VIVA,SEMILLA,CAMBIO,CABAL,AZUL,UNE,BIEN,FCN-NACION,VALOR-UNIONISTA,CREO,PC,TODOS,VAMOS,ELEFANTE,PHG,NOSOTROS,MI-FAMILIA,UR,VOS,URNG-WINAQ,PIN,REPUBLICANO
28/04/2023,7133,1208,1208,,11300,14,57800,,,24500,,100000,393,,,,179,1655,1655,1655,,1655,1655
29/04/2023,7151,1208,1208,,11400,14,57800,,,24500,,100000,393,,,,179,1672,4411,6775,,460,6243
30/04/2023,7206,1208,1208,,11400,14,57800,,,24500,,101000,394,,,,179,1685,4417,6837,,462,6232
01/05/2023,7242,1614,1614,,11400,14,57900,,,24600,,102000,394,,,,179,1692,4418,6880,,463,6221
02/05/2023,7287,2887,2887,,11400,14,57900,,,24600,,102000,397,,,,179,1698,4421,7005,,463,6043
03/05/2023,7348,4016,4016,,11400,14,57900,,,24600,,103000,399,,,,179,1719,4422,7247,,464,5803
04/05/2023,14000,14000,14000,,14000,14000,14000,,,14000,,14000,14000,,,,14000,14000,14000,14000,,14000,14000
05/05/2023,7425,5934,5934,,11500,14,58000,,,24800,,104000,404,,,,179,1770,4423,7391,,465,5712
06/05/2023,7478,6076,6076,,11500,14,58000,,,24900,,104000,407,,,,179,1783,4426,7441,,464,5704
09/05/2023,7568,5852,5852,,11500,14,58100,,,25100,,106000,417,,,,178,1808,4437,7586,,465,5682
10/05/2023,7602,5808,5808,,11500,14,56900,,,25100,,106000,418,,,,178,1811,4443,7632,,468,5652
12/05/2023,25100,25100,25100,,25100,25100,25100,,,25100,,25100,25100,,,,25100,25100,25100,25100,,25100,25100
13/05/2023,7715,6502,6502,,19000,14,57900,,,25200,,107000,420,,,,178,1845,4450,7747,,468,5310
14/05/2023,7752,7069,7069,,18800,14,58000,,,25300,,107000,422,,,,178,1854,4456,7785,,468,5304
15/05/2023,7807,7535,7535,,24400,14,58000,,,25300,,107000,423,,,,178,1858,4463,7809,,476,5312
16/05/2023,7879,7924,7924,,24400,14,58000,,,25400,,108000,424,,,,178,1861,4466,7840,,477,5307
18/05/2023,8000,8314,8314,,24400,14,58100,,,25500,,108000,425,,,,178,1869,4473,7898,,480,5282
20/05/2023,8096,9212,9212,,24300,14,87900,,,25800,,109000,427,,,,178,1892,4479,7985,,481,5230
21/05/2023,8194,9715,9715,,24300,14,98500,,,25800,,110000,427,,,,178,1912,4482,8058,,481,5220
22/05/2023,8278,10100,10100,,24300,14,98600,,,25900,,111000,428,,,,178,1923,4485,8185,,481,5191
23/05/2023,8380,9976,9976,,24400,14,118000,,,26000,,111000,428,,,,178,1934,4488,8302,,481,5196
24/05/2023,8473,9850,9850,,24500,14,118000,,,26100,,112000,428,,,,178,1949,4487,8402,,481,5212
25/05/2023,8583,9781,9781,,9781,9781,9781,,,9781,,112000,112000,,,,112000,112000,112000,112000,,112000,112000
26/05/2023,8664,8664,8664,,8664,8664,8664,,,8664,,8664,8664,,,,8664,8664,8664,8664,,8664,8664
27/05/2023,8722,9648,9648,,34500,14,119000,,,26300,,114000,426,,,,178,1969,4495,8659,,481,5208
29/05/2023,8829,9560,9560,,24500,14,119000,,,26300,,114000,426,,,,178,1984,4501,8859,,483,5213
30/05/2023,14000,14000,14000,,14000,14000,14000,,,14000,,14000,14000,,,,14000,14000,14000,14000,,14000,14000
31/05/2023,8925,9502,9502,,24600,14,119000,,,26500,,115000,429,,,,178,2001,4507,9096,,484,5205
01/06/2023,14000,14000,14000,,14000,14000,14000,,,14000,,14000,14000,,,,14000,14000,14000,14000,,14000,14000
02/06/2023,9088,9450,9450,,24700,14,119000,,,26600,,116000,428,,,,178,2014,4515,9240,,487,5153
03/06/2023,9142,9431,9431,,24700,14,118000,,,26700,,116000,430,,,,178,2018,4515,9312,,487,5152
04/06/2023,9222,9404,9404,,24900,14,118000,,,26700,,116000,431,,,,178,2019,4516,9372,,486,5143
06/06/2023,9303,9303,9303,,9303,9303,9303,,,9303,,9303,9303,,,,9303,9303,9303,9303,,9303,9303
07/06/2023,9361,9327,9327,,25200,14,117000,,,27000,,117000,433,,,,178,2044,4532,9560,,486,5139
09/06/2023,9421,9286,9286,,26000,14,117000,,,27000,,118000,435,,,,178,2048,4539,9622,,488,5152
10/06/2023,9453,9264,9264,,25400,14,117000,,,27000,,118000,434,,,,178,2052,4544,9665,,488,5141
10/06/2023,9453,9264,9264,,25400,14,117000,,,27000,,118000,434,,,,178,2052,4544,9665,,488,5141
11/06/2023,9501,9247,9247,,25400,14,117000,,,27100,,119000,436,,,,179,2054,4546,9721,,490,5118
12/06/2023,9508,9239,9239,,25400,14,117000,,,27100,,119000,436,,,,179,2054,4546,9738,,491,5120
14/06/2023,9588,9215,9215,,25200,14,117000,,,27200,,119000,437,,,,179,2058,4550,4550,,4550,4550
15/06/2023,,,,,,,117000,,,117000,,117000,117000,,,,117000,117000,117000,117000,,117000,5144
17/06/2023,9707,9194,9194,,25000,14,117000,,,27400,,120000,440,,,,179,179,179,179,,179,179
18/06/2023,9744,9196,9196,,9196,9196,9196,,,9196,,9196,9196,,,,9196,9196,9196,9983,,9983,9983
19/06/2023,,,,,,,117000,,,117000,,117000,117000,,,,117000,117000,117000,117000,,117000,117000
