DATE,VICTORIA,VIVA,SEMILLA,CAMBIO,CABAL,AZUL,UNE,BIEN,FCN-NACION,VALOR-UNIONISTA,CREO,PC,TODOS,VAMOS,ELEFANTE,PHG,NOSOTROS,MI-FAMILIA,UR,VOS,URNG-WINAQ,PIN,REPUBLICANO
28/04/2023,178000,20300,24200,,52800,1912,168700,334,30000,35900,159,891200,942,,,,5851,4961,26500,38900,3304,41000,4740
29/04/2023,178300,20400,25100,,53200,1943,170800,376,30200,36700,162,898700,948,,,,5855,4979,26500,39600,3363,41000,4755
30/04/2023,178500,20500,26200,,56300,1993,174500,2329,30400,37200,166,909300,959,,,,5868,4999,26600,40600,3430,41000,4788
01/05/2023,178600,20600,28200,,60100,2090,177800,3595,30600,37700,170,918000,971,,,,5893,5015,26600,41600,3475,41000,4807
02/05/2023,178700,20600,29000,,61700,2132,180600,4118,30700,37900,177,922200,976,,,,5898,5045,26700,43200,3499,41000,4814
03/05/2023,179300,20800,30300,,62600,2172,186800,4717,30900,38800,187,926700,989,,,,5959,5075,27000,45000,3515,41000,4826
04/05/2023,179900,21100,32100,,62800,2189,192100,5324,31100,39400,191,929700,1015,,,,5987,5159,27100,46000,3580,41000,4842
05/05/2023,180500,21800,33500,,63500,2210,196000,6147,31300,40300,197,933200,1015,,,,6355,5231,27200,47100,3647,41000,4920
06/05/2023,181000,22800,34100,,64000,2224,199900,7369,31400,41500,204,940700,1022,,,,6825,5252,27300,47800,3691,41000,4975
09/05/2023,181700,24500,35400,,64900,2386,206500,15600,31700,46200,214,952800,1043,,,,7497,5541,27600,50700,3788,41000,5025
10/05/2023,181900,24700,35900,,65200,2462,207100,17100,31700,47000,216,956600,1049,,,,7622,5593,27700,51300,3809,41000,5038
12/05/2023,182000,25100,36800,,67500,2513,224700,19300,31800,48600,220,961300,1056,,,,7726,5625,27800,52100,3836,41000,5019
13/05/2023,182200,25400,37900,,75900,2522,225700,20100,32299,49900,226,963300,1065,,,,7773,5639,28000,52600,3853,41000,4987
14/05/2023,182400,25800,38500,,80200,2531,226500,20600,32500,50400,234,965000,1068,,,,7832,5657,28500,53400,3865,41000,4992
15/05/2023,182500,26000,39100,,84700,2547,227500,21000,32600,50600,237,966900,1073,,,,7894,5684,28800,54300,3875,41000,5000
16/05/2023,182500,26100,39400,,93000,2557,228000,22900,32700,51100,240,970400,1078,,,,7924,5722,28900,54900,3881,41000,5005
18/05/2023,183900,26300,42600,,121300,2570,228800,24500,32800,54300,248,977500,1086,,,,8076,5782,29000,55400,3893,41000,5018
20/05/2023,185900,27900,47700,,150100,2610,230300,27500,42000,55400,249,990600,1094,,,,8373,5833,29500,55900,3907,41100,5029
21/05/2023,187300,29500,49800,,159400,2617,231500,29200,44400,55800,251,1000000,1097,,,,8432,5866,29700,56200,3913,41100,5033
22/05/2023,188300,30400,51000,,171300,2631,234000,31100,46000,56100,254,1000000,1100,,,,8542,5896,29700,56900,3916,41100,5036
23/05/2023,190300,31200,53900,,183800,2646,236300,32400,47100,56400,256,1000000,1102,,,,8590,5928,29800,57700,3980,41100,5040
24/05/2023,191000,32100,55600,,191700,2655,237300,33100,47400,56800,259,1000000,1106,,,,8627,5960,29900,58100,3988,41100,5045
25/05/2023,191300,32600,57100,,196100,2750,238700,33700,47500,60700,269,1000000,1109,,,,8696,6112,29900,58900,3996,41200,5055
26/05/2023,192400,33500,58400,,199400,2760,239900,34200,47600,63900,274,1000000,1112,,,,8778,6431,30000,60300,4031,41200,5063
27/05/2023,194100,36300,61700,,203400,2771,241400,35400,47700,72100,276,1000000,1117,,,,8833,6582,30200,63400,4062,41300,5070
29/05/2023,194900,37200,64300,,208500,2786,243800,36000,47800,78500,287,1000000,1138,,,,9027,6605,30600,65000,4165,41300,5099
30/05/2023,195100,37800,65500,,210700,2788,244500,36400,47800,81600,294,1000000,1145,,,,9120,6619,30700,67700,4185,41300,5110
31/05/2023,196700,38700,66500,,212100,2807,245200,36600,47900,85400,301,1000000,1152,,,,9260,6649,30800,70200,4220,41300,5121
01/06/2023,205100,40200,67500,,213600,2817,245800,37700,47900,89800,313,1100000,1158,,,,9548,6667,30900,70900,4257,41300,5227
02/06/2023,207100,41100,68300,,218900,2825,247100,38500,47900,93900,321,1100000,1163,,,,9666,6694,31100,71300,4269,41300,5282
03/06/2023,208100,42800,68800,,221500,2841,249000,38900,48000,97900,334,1100000,1166,,,,9765,6715,31200,71500,4284,41300,5289
04/06/2023,209000,44000,69200,,225400,2909,253100,39300,48000,101300,336,1100000,1181,,,,9919,6731,31300,71700,4305,41300,5291
06/06/2023,210400,44900,70100,,229400,2957,257700,43100,48500,108200,344,1100000,1188,,,,10000,6755,31500,72100,4330,41200,5300
07/06/2023,211200,45200,70800,,232800,2977,258800,43800,48600,109600,350,1100000,1194,,,,10100,6762,31800,74900,4332,41300,5308
09/06/2023,212200,45900,72000,,236900,3000,261300,44900,48700,112000,357,1100000,1202,,,,10100,6787,32100,75200,4358,41300,5316
10/06/2023,212800,46100,72600,,239700,3011,262600,45400,48900,122700,359,1100000,1205,,,,10200,6800,32200,75300,4403,41300,5326
10/06/2023,212800,46100,72600,,239700,3011,262600,45400,48900,122700,359,1100000,1205,,,,10200,6800,32200,75300,4403,41300,5326
11/06/2023,213500,46500,73300,1671,242900,3024,264400,45900,49100,134600,368,1100000,1217,,,,10400,6816,32299,75800,4447,41300,5331
12/06/2023,213600,46500,73500,1672,243400,3029,264700,46000,49200,134700,369,1100000,1218,,,,10400,6816,32400,75900,4451,41300,5334
14/06/2023,214600,47400,75400,1682,247600,3044,267300,47100,49700,139800,386,1100000,1234,,,,10700,6827,32600,79700,4464,41400,5345
15/06/2023,215200,48100,78000,1685,250700,3061,268800,47600,50200,142100,419,1100000,1237,,,,11300,6839,32800,82100,4474,41400,5352
17/06/2023,216000,49900,79700,1692,254800,3075,271000,49500,50600,147400,481,1100000,1243,,,,11800,6865,32900,83100,4527,41300,5444
18/06/2023,216300,50700,80200,1698,255900,3078,271800,50000,51000,147800,498,1100000,1244,,,,12000,6865,33000,83100,4541,41400,5475
19/06/2023,216600,51500,80500,1697,256500,3085,272500,50200,51100,148200,523,1100000,1247,,,,12000,6865,33200,83100,4546,41400,5479
