DATE,VICTORIA,VIVA,SEMILLA,CAMBIO,CABAL,AZUL,UNE,BIEN,FCN-NACION,VALOR-UNIONISTA,CREO,PC,TODOS,VAMOS,ELEFANTE,PHG,NOSOTROS,MI-FAMILIA,UR,VOS,URNG-WINAQ,PIN,REPUBLICANO
28/04/2023,28529.8666666667,49089.9,42347.5333333333,,75066.5,11614.8333333333,54734.8333333333,1728.53571428571,150546.666666667,100613.133333333,636.388888888889,207317.4,1112.9,,,,29065.9666666667,6436.13333333333,13205.1,21701.8666666667,8363.03333333333,41469.9666666667,19887.6666666667
29/04/2023,31430.9666666667,40250.9,33511.2,,83298.0333333333,11759.2,67040,1758.83333333333,111057.466666667,101864.266666667,640.111111111111,243610,1121.4,,,,28709,6334.76666666667,13645.2333333333,26108.7666666667,7198,41629.8,19893.3
30/04/2023,29601.7333333333,25019.9333333333,37487.9,,120984.3,12064.1,79786.6666666667,52301.2,125010,102550.866666667,623.210526315789,301380,778.433333333333,,,,33869.5217391304,5903.53333333333,14331.1666666667,28937.1333333333,7560.33333333333,41904.1333333333,20894.1333333333
01/05/2023,21703.4333333333,20421.8333333333,44554.9,,157137.833333333,12948.3666666667,99073.3333333333,82402.6333333333,131036.666666667,104285.666666667,632.789473684211,396790,750.766666666667,,,,29369.8,4284.7,15746.6666666667,26055.2,7793.9,42123.1,20529.5333333333
02/05/2023,27161.6333333333,20758.3666666667,46661.8666666667,,140876.633333333,13310.0333333333,121285.6,93177.4666666667,133846.666666667,106362.866666667,643.263157894737,452543.333333333,773.633333333333,,,,29508.5333333333,3861.23333333333,10818.4,36036.4,7879.6,42321.5666666667,21021.6
03/05/2023,37531.0666666667,19976.3,50475.3,,146931.166666667,13539.4,204677.3,105337.566666667,142016.666666667,109923.3,628.95,475963.333333333,750.666666666667,,,,11533.8,2617.3,15824.0333333333,42958.4,6942.03333333333,42530.2,20941.0666666667
04/05/2023,47394.2666666667,21841.6,58244.8333333333,,148904.233333333,13641.2666666667,262949.933333333,111020,147770,113606.466666667,580.590909090909,337442.666666667,848.833333333333,,,,11795.7666666667,2228.96666666667,17834.4666666667,46786,5720.23333333333,42659.2666666667,21088.5666666667
05/05/2023,56016.8666666667,24623.7,64806.1666666667,,162995.4,13728.0666666667,315916.266666667,116032.266666667,151553.333333333,39950.7333333333,643.869565217391,212350,838.2,,,,17706.9666666667,2314.06666666667,18862.7666666667,44394.2,6904.13333333333,42774,21719.9666666667
06/05/2023,76275.4,24157.3333333333,67716.2666666667,,170238.5,13818.8333333333,332293.333333333,17430.8,155930,30676.5666666667,609.777777777778,156513.333333333,880.7,,,,25006.9,2382.93333333333,21342.3,46583.6666666667,6309.2,42813.2333333333,22700.9666666667
09/05/2023,38980.4333333333,31111.1333333333,47988.7333333333,,160730.466666667,14760.7,113711.933333333,31180.1333333333,164230.166666667,61094.3333333333,599.366666666667,96506.6666666667,921.6,,,,34374.0333333333,6058,26498.6666666667,22316.3666666667,6130.2,36873.9666666667,22408
10/05/2023,39852.2666666667,32612.5,47222.6333333333,,162963.333333333,14846.6333333333,85813.0666666667,25239.6333333333,164136.433333333,57403.7666666667,587.3,104540,942.4,,,,36176.8333333333,6805.06666666667,26560.6333333333,23665.2666666667,6194.66666666667,37014.7666666667,20313.8666666667
12/05/2023,32699.7666666667,31949.6666666667,47927.7666666667,,70353.8666666667,15076.3333333333,89970.8,22493.2333333333,171611.266666667,42998.3,589.533333333333,151156.666666667,960.2,,,,36071,7018.46666666667,23255.5,24500.4666666667,6401.9,36917.8333333333,20431.2333333333
13/05/2023,29167.4,33168.7666666667,43416.3666666667,,82810.6333333333,15081.6,87126.0666666667,21155.2,146578.133333333,46190.4333333333,578.333333333333,170322.333333333,994.4,,,,36665.9,6847.86666666667,18873,26618.8333333333,6602.23333333333,37095.3666666667,12728.6333333333
14/05/2023,24018.4,39275.2,40045,,97858.8333333333,15151.4,91204.1333333333,20642.6,152133.333333333,41643.5333333333,568.2,134011.7,875.166666666667,,,,37123.2666666667,7075.86666666667,29569.7,31909.3,5446.1,37223.7666666667,20584.3333333333
15/05/2023,20785.5666666667,40044.6666666667,27199.1666666667,,143770,15203,74487.9,11051.9666666667,125819.033333333,42392.0333333333,583.8,165530,910.9,,,,38516.1,7376.23333333333,35732.7666666667,41729.4666666667,5530.66666666667,36895.8333333333,20663.5666666667
16/05/2023,22664.2,40611.3666666667,27269.0666666667,,222096.666666667,15240.1,80880.6666666667,13501.4,129130.533333333,47693.2666666667,619.133333333333,232470,925.2,,,,38210.6333333333,7706.53333333333,38221.8333333333,42131.0333333333,5569.63333333333,36797.8333333333,20750.7666666667
18/05/2023,23153.4666666667,41130.2666666667,40979.6666666667,,487423.333333333,15306.0333333333,75461.3,10955.6,121127.9,72707.8,647.933333333333,276920,958.5,,,,39398.1666666667,3290.8,39597.4333333333,42345.6333333333,2113.53333333333,37369.3,20899.9666666667
20/05/2023,45167.2666666667,44905.1,65670.7,,662995.133333333,15310.7333333333,42838.2333333333,17782.6,190920,71159.1,639.933333333333,466983.3,989.4,,,,40379,3713.5,40745.3333333333,35189.9666666667,1369.86666666667,34171.3,21064.8
21/05/2023,69381.7666666667,54839.7,72648.8666666667,,805339.966666667,15358.7333333333,62449.7666666667,21976.4333333333,207908.133333333,66252.3333333333,651.3,445934.766666667,981.266666666667,,,,41549.7333333333,2557.8,35433.9,21224.1,1387.86666666667,34427.2666666667,8001
