DATE,VICTORIA,VIVA,SEMILLA,CAMBIO,CABAL,AZUL,UNE,BIEN,FCN-NACION,VALOR-UNIONISTA,CREO,PC,TODOS,VAMOS,ELEFANTE,PHG,NOSOTROS,MI-FAMILIA,UR,VOS,URNG-WINAQ,PIN,REPUBLICANO
28/04/2023,2527,2527,14100,,19300,2661,41600,105,8409,62600,66,11000,214,3182,883,100,117,1627,1952,33200,8732,582,236
29/04/2023,2528,2528,14200,,19300,2669,41600,105,8410,62600,67,11100,214,3182,885,100,117,1627,1953,33200,8733,582,239
30/04/2023,2532,2532,14300,,19400,2671,41600,106,8413,62600,67,11200,216,3183,886,100,118,1630,1953,33300,8734,582,243
01/05/2023,2534,2534,14400,,19400,2682,41600,107,8415,62700,69,11300,217,3181,887,101,120,1630,1954,33400,8736,582,254
02/05/2023,2538,2538,14600,,19400,2695,41600,107,8419,62700,70,11500,219,3181,887,103,123,1631,1956,33500,8739,583,261
03/05/2023,2551,2551,14900,,19500,2706,41600,107,8421,62700,72,11800,219,3183,887,103,124,1640,1955,33700,8742,582,264
04/05/2023,2552,2552,15200,,19500,2710,41600,108,8423,62800,75,12000,220,3185,887,103,124,1641,1958,33800,8746,582,268
05/05/2023,2557,2557,15400,,19600,2717,41700,110,8429,62800,76,12200,221,3189,887,103,128,1642,1958,33900,8750,583,275
06/05/2023,2556,2556,15500,,19600,2716,41700,111,8432,62900,76,12300,221,3192,888,103,129,1642,1958,34000,8750,582,279
09/05/2023,2561,2561,15700,,19700,2723,41700,119,8433,62900,257,12700,231,3254,902,108,134,1649,1961,34200,8737,584,299
10/05/2023,2564,2564,15900,,19700,2727,41700,119,8437,62900,105,12800,234,3254,902,110,137,1650,1965,34300,8740,592,303
12/05/2023,2564,2564,16200,,19800,2737,41800,126,8440,63000,574,13100,238,3261,904,113,143,1652,1966,34400,8743,592,359
13/05/2023,2566,2566,16600,,19800,2740,41800,128,8441,63000,161,13200,238,3264,905,114,143,1653,1966,34500,8743,595,370
14/05/2023,2567,2567,16800,,19800,2743,41800,128,8441,63000,89,13300,239,3266,905,114,147,1653,1967,34500,8743,595,372
15/05/2023,2568,2568,16900,,19800,2746,41800,129,8441,63100,89,13400,239,3268,906,114,150,1653,1969,34600,8743,599,378
16/05/2023,2568,2568,17000,,19800,2754,41800,132,8440,64200,88,13500,242,3270,908,117,154,1654,1971,34600,8746,600,387
18/05/2023,2571,2571,17300,,19800,2767,41800,142,8438,66300,89,13900,244,3271,909,119,160,1655,1969,34700,8748,601,407
20/05/2023,2576,2576,17600,,19900,2783,42100,175,8443,66600,90,14600,245,3284,910,120,169,1657,1968,34900,8752,604,430
21/05/2023,2585,2585,17800,,19900,2799,43400,197,8447,66700,89,14900,251,3288,912,122,173,1658,1968,35000,8755,605,443
22/05/2023,2590,2590,18000,,20000,2813,43800,217,8451,66800,97,15200,258,3294,913,132,194,1660,1973,35100,8757,609,473
23/05/2023,2592,2592,18100,,20100,2829,43700,233,8453,66800,93,15400,262,3301,914,135,207,1663,1974,35200,8755,607,487
24/05/2023,2594,2594,18300,,20100,2833,48600,263,8454,66900,94,15800,265,3305,915,135,215,1669,1975,35200,8756,607,503
25/05/2023,2596,2596,18400,,20100,2836,67100,277,8452,66900,97,16000,265,3306,915,135,216,1668,1975,35400,8757,606,512
26/05/2023,2596,2596,18600,,20200,2838,65400,290,8453,66900,97,16300,265,3308,916,135,227,1673,1977,35500,8757,606,530
27/05/2023,2594,2594,18800,,20200,2841,65200,303,8453,66900,99,16500,263,3315,916,136,226,1674,1978,35500,8759,606,533
29/05/2023,2598,2598,19100,,20200,2850,55500,310,8456,67000,102,16600,264,3318,916,148,237,1674,1978,35600,8758,606,550
30/05/2023,2601,2601,19200,,20100,2858,56900,331,8463,67000,102,16600,265,3320,916,151,241,1675,1981,35700,8763,606,559
31/05/2023,2604,2604,19400,,20200,2857,56300,342,8465,67000,106,16600,265,3311,916,153,245,1676,1982,35800,8765,607,573
01/06/2023,2612,2612,19500,,20100,2862,63900,351,8468,67000,106,16700,267,3323,918,155,256,1675,1981,35900,8764,607,578
02/06/2023,2618,2618,19600,,20100,2871,63900,356,8467,67100,107,16700,272,3313,919,157,268,1676,1981,36000,8763,607,576
03/06/2023,2621,2621,19700,,20100,2871,66400,357,8468,67100,110,16700,274,3314,919,154,265,1677,1981,36000,8762,607,586
04/06/2023,2620,2620,19800,,20100,2876,62300,359,8470,67100,110,16700,276,3315,919,156,268,1679,1981,36000,8763,608,590
06/06/2023,2622,2622,19900,,20100,2880,61300,362,8470,67200,112,16700,279,3327,922,160,272,1679,1983,36100,8764,608,599
